cluster_key;ticker;filing_day;filedAt;in_backtest;in_strategies;strategies;company;insiders;n_buys;pct_increase_position_max;qty_tot;titles;value_tot
WU|2024-02-28;WU;2024-02-28;2024-02-28T21:43:15-05:00;True;True;Director,Director only (no C-level),Director only + Position +10%,Director only + Value ≥100k,Mid cap (1B–10B) Value ≥100k,Position +10%,Position +20%,Price > MA200,Price > MA50,Qty ≥10k shares,Qty ≥5k shares,RSI overbought (>70),Tutti,Value ≥100k,Value ≥50k;Western Union CO;Murphy Timothy P.;1;21.64;10000.0;Director;128499.0
AMN|2024-02-28;AMN;2024-02-28;2024-02-28T17:38:23-05:00;True;True;CEO/CFO,CEO/CFO + Value ≥100k,CFO + Director (combo),CFO only,CFO only + Position +10%,CFO only + Position +20%,CFO only + Value ≥100k,CFO only + Value ≥50k,Director,Far 52w high + Value ≥100k,Large cap (≥1B) CEO/CFO,Large cap (≥250M) CEO/CFO,Large cap (≥2B) CEO/CFO,Large cap (≥500M) CEO/CFO,Large cap (≥750M) CEO/CFO,Mid cap (1B–10B) CEO/CFO,Mid cap (1B–10B) Value ≥100k,Multiple buys (n≥2),Officer/President,Position +10%,Position +20%,Position +30%,Price < MA50,Qty ≥10k shares,Qty ≥5k shares,RSI oversold (<30),RSI oversold + CEO/CFO,RSI oversold + Value ≥100k,Tutti,Value ≥100k,Value ≥500k,Value ≥50k;AMN HEALTHCARE SERVICES INC;Knudson Jeffrey R | Laughlin Whitney M | Trent-Adams Sylvia | WHEAT DOUGLAS D;4;172.03;10609.0;CFO | Chief Legal Officer | Director;610227.77
SPHR|2024-02-28;SPHR;2024-02-28;2024-02-28T20:33:30-05:00;True;True;CEO only,CEO only + Position +10%,CEO only + Value ≥100k,CEO only + Value ≥500k,CEO/CFO,CEO/CFO + Value ≥100k,Large cap (≥1B) CEO/CFO,Large cap (≥250M) CEO/CFO,Large cap (≥500M) CEO/CFO,Large cap (≥750M) CEO/CFO,Mid cap (1B–10B) CEO/CFO,Mid cap (1B–10B) Value ≥100k,Near 52w high + CEO/CFO,Officer/President,Position +10%,Price > MA200,Price > MA50,Price > MA50 + CEO/CFO,Qty ≥10k shares,Qty ≥50k shares,Qty ≥5k shares,Tutti,Value ≥100k,Value ≥1M,Value ≥500k,Value ≥50k;Sphere Entertainment Co.;DOLAN JAMES LAWRENCE;1;14.33;59374.0;Executive Chairman / CEO;2441016.7989000003
AWR|2024-02-28;AWR;2024-02-28;2024-02-28T20:17:33-05:00;True;True;Director,Director only (no C-level),Director only + Position +10%,Position +10%,Position +20%,Position +30%,Price < MA50,Tutti,Value ≥50k;AMERICAN STATES WATER CO;Eichelberger Thomas A.;1;31.46;1400.0;Director;99693.99999999999
STGW|2024-02-28;STGW;2024-02-28;2024-02-28T19:48:08-05:00;True;True;CEO + Director (combo),CEO only,CEO/CFO,Director,Large cap (≥250M) CEO/CFO,Large cap (≥500M) CEO/CFO,Multiple buys (n≥2),Officer/President,Price < MA50,Qty ≥10k shares,Qty ≥5k shares,Small cap (≤1B) CEO/CFO,Tutti,Value ≥50k;Stagwell Inc;Oosterman Wade | Penn Mark Jeffery;2;4.06;15000.0;Chief Executive Officer | Director;77200.0
OVLY|2024-02-28;OVLY;2024-02-28;2024-02-28T12:32:41-05:00;True;True;Director,Director only (no C-level),Director only + Position +10%,Multiple buys (n≥2),Position +10%,Price < MA50,Tutti,Value ≥50k;Oak Valley Bancorp;HOLDER H RANDOLPH JR | Strong Gary;3;11.85;2521.0;Director;62019.54
NHI|2024-02-28;NHI;2024-02-28;2024-02-28T18:20:46-05:00;True;True;Director,Director only (no C-level),Director only + Value ≥100k,Mid cap (1B–10B) Value ≥100k,Price > MA200,Price > MA50,Qty ≥10k shares,Qty ≥5k shares,RSI overbought (>70),Tutti,Value ≥100k,Value ≥500k,Value ≥50k;NATIONAL HEALTH INVESTORS INC;SWAFFORD CHARLOTTE A;1;9.98;10000.0;Director;586882.0
ENPH|2024-02-28;ENPH;2024-02-28;2024-02-28T18:16:26-05:00;True;True;CEO only,CEO only + Value ≥100k,CEO/CFO,CEO/CFO + Value ≥100k,Far 52w high + Value ≥100k,Large cap (≥10B) CEO/CFO,Large cap (≥1B) CEO/CFO,Large cap (≥250M) CEO/CFO,Large cap (≥2B) CEO/CFO,Large cap (≥3B) CEO/CFO,Large cap (≥500M) CEO/CFO,Large cap (≥5B) CEO/CFO,Large cap (≥750M) CEO/CFO,Officer/President,Price > MA50,Price > MA50 + CEO/CFO,Tutti,Value ≥100k,Value ≥50k;Enphase Energy, Inc.;Kothandaraman Badrinarayanan;1;0.24;4000.0;President & CEO;482154.0
MDV|2024-02-28;MDV;2024-02-28;2024-02-28T18:08:52-05:00;True;True;Director,Director only (no C-level),Price > MA200,Price > MA50,Tutti;Modiv Industrial, Inc.;MARKMAN ADAM SCOTT;1;0.62;125.3865;Director;1834.404495
NOVA|2024-02-28;NOVA;2024-02-28;2024-02-28T17:35:23-05:00;True;True;Director,Director only (no C-level),Director only + Position +10%,Director only + Value ≥100k,Far 52w high + Value ≥100k,Position +10%,Position +20%,Position +30%,Price < MA50,Qty ≥100k shares,Qty ≥10k shares,Qty ≥50k shares,Qty ≥5k shares,Small cap (≤1B) Value ≥100k,Tutti,Value ≥100k,Value ≥1M,Value ≥500k,Value ≥50k;Sunnova Energy International Inc.;Mohamed Akbar;1;182.16;152450.0;Director;1054954.0
